Product: Daily Heating Degree Days
Regions: Regions::CensusDivisions
Weights: Population
Region|19820101|19820102|19820103|19820104|19820105|19820106|19820107|19820108|19820109|19820110|19820111|19820112|19820113|19820114|19820115|19820116|19820117|19820118|19820119|19820120|19820121|19820122|19820123|19820124|19820125|19820126|19820127|19820128|19820129|19820130|19820131|19820201|19820202|19820203|19820204|19820205|19820206|19820207|19820208|19820209|19820210|19820211|19820212|19820213|19820214|19820215|19820216|19820217|19820218|19820219|19820220|19820221|19820222|19820223|19820224|19820225|19820226|19820227|19820228|19820301|19820302|19820303|19820304|19820305|19820306|19820307|19820308|19820309|19820310|19820311|19820312|19820313|19820314|19820315|19820316|19820317|19820318|19820319|19820320|19820321|19820322|19820323|19820324|19820325|19820326|19820327|19820328|19820329|19820330|19820331|19820401|19820402|19820403|19820404|19820405|19820406|19820407|19820408|19820409|19820410|19820411|19820412|19820413|19820414|19820415|19820416|19820417|19820418|19820419|19820420|19820421|19820422|19820423|19820424|19820425|19820426|19820427|19820428|19820429|19820430|19820501|19820502|19820503|19820504|19820505|19820506|19820507|19820508|19820509|19820510|19820511|19820512|19820513|19820514|19820515|19820516|19820517|19820518|19820519|19820520|19820521|19820522|19820523|19820524|19820525|19820526|19820527|19820528|19820529|19820530|19820531|19820601|19820602|19820603|19820604|19820605|19820606|19820607|19820608|19820609|19820610|19820611|19820612|19820613|19820614|19820615|19820616|19820617|19820618|19820619|19820620|19820621|19820622|19820623|19820624|19820625|19820626|19820627|19820628|19820629|19820630|19820701|19820702|19820703|19820704|19820705|19820706|19820707|19820708|19820709|19820710|19820711|19820712|19820713|19820714|19820715|19820716|19820717|19820718|19820719|19820720|19820721|19820722|19820723|19820724|19820725|19820726|19820727|19820728|19820729|19820730|19820731|19820801|19820802|19820803|19820804|19820805|19820806|19820807|19820808|19820809|19820810|19820811|19820812|19820813|19820814|19820815|19820816|19820817|19820818|19820819|19820820|19820821|19820822|19820823|19820824|19820825|19820826|19820827|19820828|19820829|19820830|19820831|19820901|19820902|19820903|19820904|19820905|19820906|19820907|19820908|19820909|19820910|19820911|19820912|19820913|19820914|19820915|19820916|19820917|19820918|19820919|19820920|19820921|19820922|19820923|19820924|19820925|19820926|19820927|19820928|19820929|19820930|19821001|19821002|19821003|19821004|19821005|19821006|19821007|19821008|19821009|19821010|19821011|19821012|19821013|19821014|19821015|19821016|19821017|19821018|19821019|19821020|19821021|19821022|19821023|19821024|19821025|19821026|19821027|19821028|19821029|19821030|19821031|19821101|19821102|19821103|19821104|19821105|19821106|19821107|19821108|19821109|19821110|19821111|19821112|19821113|19821114|19821115|19821116|19821117|19821118|19821119|19821120|19821121|19821122|19821123|19821124|19821125|19821126|19821127|19821128|19821129|19821130|19821201|19821202|19821203|19821204|19821205|19821206|19821207|19821208|19821209|19821210|19821211|19821212|19821213|19821214|19821215|19821216|19821217|19821218|19821219|19821220|19821221|19821222|19821223|19821224|19821225|19821226|19821227|19821228|19821229|19821230|19821231
1|36|36|45|32|27|37|33|42|48|54|61|62|57|49|45|50|54|66|60|50|49|59|53|44|51|57|58|51|41|42|34|31|40|32|26|36|37|44|39|38|41|49|47|43|45|40|27|35|41|40|32|31|33|35|37|45|47|43|42|46|38|42|48|33|33|32|35|44|42|29|22|24|25|27|29|28|29|26|26|26|25|27|28|23|21|34|41|33|24|21|17|24|27|26|35|38|45|41|34|29|26|25|26|20|24|19|8|11|18|14|13|23|23|11|8|6|7|15|20|16|9|10|12|12|14|9|7|8|5|9|12|13|10|8|9|8|4|7|3|0|4|10|12|16|9|3|0|4|6|4|4|3|1|5|4|7|10|14|10|6|3|6|9|12|13|6|0|0|0|1|1|4|2|1|3|2|0|1|0|0|1|2|4|1|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|1|0|0|0|0|1|0|3|10|4|0|0|1|0|4|11|8|2|2|1|0|2|5|2|3|7|6|1|0|0|0|0|0|3|7|9|9|12|11|9|7|6|5|7|5|3|6|8|4|6|12|5|8|4|6|7|11|21|22|19|14|11|11|17|21|24|18|14|11|21|28|27|27|22|20|19|15|12|9|5|5|5|2|8|23|26|19|18|28|28|15|15|29|28|31|28|27|25|23|18|14|13|17|29|29|33|40|27|21|23|17|18|10|16|10|17|27|35|47|40|42|54|50|35|21|27|42|42|38|35|37|38|34|26|18|27|23|16|30|34
2|30|35|39|26|27|34|30|41|45|55|61|58|54|46|46|48|57|64|54|44|44|54|46|41|51|53|53|45|38|38|30|28|39|31|28|38|37|44|38|35|42|45|44|40|40|30|22|29|36|33|29|30|30|30|32|44|45|38|36|37|31|39|43|31|34|33|38|40|38|26|19|21|20|26|27|28|26|23|25|22|22|25|25|21|22|34|38|31|22|15|15|21|22|25|33|34|42|37|33|28|26|25|19|17|21|12|4|10|16|11|11|21|20|9|7|5|7|15|17|12|8|8|9|10|10|6|2|5|7|7|8|7|3|4|5|3|0|2|1|0|1|7|11|12|6|2|0|1|1|0|1|1|1|4|3|4|6|6|4|1|0|3|6|8|5|1|0|0|1|0|1|2|2|2|3|1|0|0|0|0|0|2|2|1|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|1|0|0|0|0|0|0|1|6|2|0|0|1|0|3|10|5|1|0|0|0|3|4|2|2|4|2|0|0|0|0|0|0|1|3|6|8|8|7|7|7|7|5|6|3|4|4|4|2|4|8|3|4|2|2|1|3|11|16|12|10|10|10|16|22|23|16|10|10|21|26|25|24|18|18|17|14|10|8|3|2|1|4|16|27|25|18|17|24|23|12|15|29|28|32|27|24|21|19|15|12|11|18|30|28|30|37|25|20|19|15|13|7|9|7|19|26|32|45|38|41|49|43|32|21|29|42|38|34|32|33|32|23|19|14|26|19|16|31|35
3|40|44|34|32|39|37|47|54|57|72|68|58|52|53|58|61|73|62|48|44|43|44|39|55|57|58|51|38|43|37|40|49|46|43|51|52|58|56|49|51|63|58|50|47|40|30|28|32|33|32|28|28|30|28|33|44|45|40|36|32|32|43|41|40|43|44|48|45|37|25|25|20|25|26|22|20|24|24|26|24|27|27|22|24|34|39|37|27|16|12|17|17|20|35|37|41|43|38|33|32|29|24|16|21|15|5|9|17|13|14|23|22|16|10|8|9|17|20|16|11|8|8|6|3|1|1|3|7|6|3|1|0|0|0|0|0|0|0|0|1|5|5|5|5|5|3|1|0|0|0|0|2|5|7|8|6|4|1|0|0|1|4|1|1|1|0|3|5|2|4|4|3|3|4|2|1|1|0|0|0|2|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|4|2|0|0|0|0|0|0|0|0|2|0|0|1|1|1|7|8|1|1|0|0|2|5|2|1|4|5|1|0|0|0|0|0|2|6|7|6|10|9|14|14|11|7|8|8|8|6|2|1|1|2|2|4|2|0|2|6|4|5|9|13|13|13|13|19|23|15|9|14|25|27|26|24|22|19|17|11|9|12|8|5|6|14|28|33|32|24|16|18|17|12|16|32|37|38|34|29|24|16|10|14|21|22|34|39|34|35|31|25|22|15|7|5|13|14|21|29|33|41|40|40|48|45|36|28|31|38|34|30|33|37|34|23|15|11|20|25|19|35|43|39
4|55|46|48|51|47|53|63|56|61|75|67|59|61|62|53|66|66|50|45|48|47|43|51|61|55|54|37|39|40|41|55|54|50|60|67|67|66|53|53|61|63|54|48|45|37|30|29|31|30|27|22|23|21|24|33|41|39|35|30|29|30|39|42|46|46|49|43|45|31|25|22|22|25|23|20|20|21|22|24|28|29|25|23|29|34|34|28|21|14|16|17|11|25|33|33|40|36|34|33|28|22|12|11|10|5|6|15|16|14|22|23|19|12|7|7|11|15|16|15|12|9|5|1|0|3|10|13|8|3|2|2|4|3|2|2|2|2|2|2|3|6|7|6|4|4|3|1|0|1|2|4|9|8|8|6|4|1|2|3|3|4|2|2|1|1|1|3|1|3|4|2|2|2|0|0|1|2|0|0|1|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|4|2|0|0|0|0|0|0|0|0|0|0|0|1|1|1|4|4|1|2|1|0|1|2|1|0|3|3|1|0|0|0|1|3|6|8|9|6|8|7|12|15|12|6|6|11|11|8|3|2|4|6|6|6|4|4|5|11|8|8|13|15|16|17|13|10|17|13|9|12|24|27|24|20|17|15|13|11|10|15|15|12|11|15|26|36|36|29|19|19|19|18|17|29|44|41|39|32|30|24|16|14|25|30|39|45|40|39|39|34|30|25|17|12|20|26|27|32|36|43|48|40|47|50|39|33|36|40|35|27|29|33|34|28|23|22|29|39|35|39|50|48|41
5|16|17|18|12|17|18|10|16|24|34|44|41|33|28|34|30|33|33|24|17|16|19|20|20|26|26|33|26|21|17|10|12|18|16|13|15|15|22|20|15|19|19|19|19|20|13|7|8|15|15|14|11|14|16|10|12|21|23|20|19|16|13|14|9|10|16|23|19|14|9|4|3|5|8|12|7|5|6|6|6|7|11|11|8|9|18|21|16|9|3|3|5|3|5|10|14|19|17|15|14|13|11|4|3|4|2|0|3|6|5|3|7|11|8|5|2|2|4|7|6|5|2|2|2|2|1|0|0|2|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|3|5|4|2|2|2|1|1|1|1|0|1|0|0|0|0|0|0|1|4|3|2|3|5|6|11|11|8|3|3|9|12|15|14|11|10|9|8|6|3|1|0|0|2|13|19|17|12|9|8|9|3|8|18|16|18|15|11|9|8|5|4|4|5|16|13|10|13|9|9|7|5|3|1|1|4|11|13|13|18|17|20|29|26|17|11|19|26|25|22|22|22|17|11|5|3|5|5|6|16|20
6|22|24|15|13|26|19|16|33|37|47|58|50|41|43|42|36|52|45|23|15|13|13|14|29|30|33|37|26|21|15|12|27|28|22|27|28|31|41|32|25|37|34|28|31|29|20|10|9|13|17|18|14|19|15|7|16|27|27|24|20|18|14|11|13|23|30|31|23|16|9|5|4|11|9|3|1|1|1|1|2|13|18|11|7|18|26|25|18|8|1|6|4|4|12|11|19|26|21|20|21|17|10|2|3|2|0|1|10|7|5|9|13|15|11|6|4|3|8|8|6|3|2|2|2|0|0|0|4|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|3|9|9|6|3|3|4|3|0|0|0|0|0|0|0|0|0|0|0|0|1|4|6|8|9|8|14|10|5|5|12|15|17|18|18|17|14|11|8|4|1|0|0|2|18|28|27|21|15|12|10|7|6|22|27|26|26|20|13|8|5|3|3|4|14|27|20|13|10|13|12|5|1|0|0|5|15|21|18|18|25|23|31|37|29|19|23|29|28|22|23|24|21|12|6|2|4|4|6|20|30|29
7|17|12|7|15|16|8|15|27|26|28|44|40|34|38|26|24|36|27|11|6|6|5|13|21|15|16|15|10|6|6|17|23|20|24|30|34|38|34|25|24|31|26|19|21|20|11|5|6|8|8|7|5|3|1|3|10|23|25|20|15|10|6|7|13|22|24|17|10|4|1|0|1|3|1|1|0|0|0|1|3|8|8|5|3|11|16|18|12|2|1|1|0|2|3|2|8|11|5|7|11|12|4|0|0|0|0|1|3|1|2|7|10|11|8|4|1|1|1|2|1|1|0|0|0|0|1|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|5|5|4|2|1|2|1|0|4|8|9|9|10|10|8|3|1|4|2|0|0|1|7|18|17|10|5|3|2|1|0|4|18|18|20|18|12|7|2|1|2|2|5|17|24|20|18|18|12|5|1|2|5|12|14|13|12|12|16|19|20|28|28|20|14|18|16|11|11|15|11|5|2|2|7|17|19|21|26|28|26
8|28|35|39|36|31|36|43|40|35|36|35|34|37|33|32|33|28|26|28|31|33|39|39|28|26|21|23|27|29|32|30|32|36|38|43|48|45|40|38|41|36|34|33|28|21|19|17|19|21|20|17|14|14|17|23|26|24|20|19|18|16|21|26|29|29|26|21|18|15|13|17|19|18|19|21|21|20|25|27|28|25|22|20|20|16|18|16|17|22|19|15|19|19|17|20|18|20|25|20|17|10|8|10|10|12|15|16|13|17|20|20|17|13|10|10|9|9|9|9|9|7|5|4|7|12|14|10|8|9|10|12|12|11|10|8|8|7|5|5|7|6|4|4|5|6|4|3|5|7|7|7|5|6|6|6|6|6|6|5|6|4|2|2|2|2|3|3|2|3|4|2|1|1|0|1|1|1|1|0|0|0|1|1|1|1|2|2|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|1|1|1|1|0|0|1|2|1|1|1|1|5|8|9|10|8|6|5|5|4|5|4|3|2|3|3|3|5|9|11|11|12|11|9|8|9|12|10|12|17|18|17|15|14|11|9|8|9|11|15|17|15|11|10|9|8|10|13|20|20|16|15|17|21|24|22|19|18|18|18|19|21|24|29|26|29|26|24|21|19|19|23|25|27|30|31|29|29|28|26|23|22|25|30|30|27|26|26|28|33|31|29|31|30|28|30|31|26|23|25|27|26|23|21|24|32|38|37|37|41|43|42|41
9|22|25|28|26|24|27|30|26|21|19|18|20|20|19|19|18|19|20|23|23|25|28|23|18|17|17|20|21|21|21|19|17|17|18|21|24|22|22|21|22|23|21|18|16|12|10|9|11|13|9|7|9|13|16|17|16|16|16|13|13|15|17|17|17|16|15|12|12|9|10|14|14|15|18|20|21|21|21|20|19|16|14|13|13|14|14|16|21|20|19|20|21|17|16|17|18|19|17|13|10|9|11|13|14|15|15|13|11|9|7|5|5|5|7|9|8|8|7|7|7|6|6|6|7|6|4|4|7|11|13|12|9|7|6|6|3|3|7|7|4|3|2|2|1|1|3|6|6|6|5|5|6|7|7|6|7|7|7|5|3|2|2|3|4|3|1|0|1|1|0|0|0|0|0|0|0|0|1|1|1|3|2|2|2|3|2|1|1|1|0|0|0|0|0|1|2|2|1|0|0|1|1|1|1|0|0|0|0|0|0|1|1|1|1|2|1|1|0|0|0|0|1|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|0|0|0|0|0|2|3|2|2|3|3|4|3|1|2|2|2|1|1|1|2|4|6|7|8|9|7|4|5|6|6|6|7|6|4|4|3|3|3|2|3|4|6|8|6|7|6|3|3|3|3|6|12|12|10|10|11|11|10|10|10|11|12|15|16|19|20|21|19|19|19|18|16|15|15|15|18|20|19|19|18|18|17|16|15|14|16|19|21|17|16|16|16|20|21|19|19|18|18|18|20|18|17|16|18|17|17|17|17|20|24|24|22|23|22|24|26|26
